COUNT;OP_ID;OLD_PARENT_NODE_TYPE;OLD_PARENT_NODE_GMLID;OF_OLD_NEAREST_GMLID;OF_OLD_BUILDING_GMLID;PROPERTY_NAME;NEW_VALUE;IS_OPTIONAL;MESSAGE
66;5b0041ff-ab80-49bb-8ffc-bb9c7b2d90ac;X3D_MATERIAL;UUID_88753ac9-dd89-4977-aafc-b95094a32587;UUID_88753ac9-dd89-4977-aafc-b95094a32587;BLDG_0003000b003be41e;shininess;"0.0";false;Property has been inserted to the new city model.
67;14a6111d-e59e-491a-ad29-593a0e272afc;X3D_MATERIAL;UUID_2bc23594-b087-4762-b0a4-228933be75fa;UUID_2bc23594-b087-4762-b0a4-228933be75fa;BLDG_0003000e007044e6;shininess;"0.0";false;Property has been inserted to the new city model.
68;aad2e028-e337-4f10-884a-253619172831;X3D_MATERIAL;UUID_5f03afef-c2fd-4c00-99d7-240a497f2c47;UUID_5f03afef-c2fd-4c00-99d7-240a497f2c47;BLDG_0003000b00446e8c;shininess;"0.0";false;Property has been inserted to the new city model.
69;50a945a0-db37-4e71-8eab-7cfd3e045a0f;X3D_MATERIAL;UUID_4926049e-4419-4d4f-b180-9c66a1c53dd7;UUID_4926049e-4419-4d4f-b180-9c66a1c53dd7;BLDG_00030000004323c9;shininess;"0.0";false;Property has been inserted to the new city model.
70;5f90c6ba-b46d-48f6-a78e-c4731e1e5dd2;X3D_MATERIAL;UUID_c09a441c-3558-4ca5-ab16-0a84e145e92b;UUID_c09a441c-3558-4ca5-ab16-0a84e145e92b;BLDG_0003000b006f7b54;shininess;"0.0";false;Property has been inserted to the new city model.
71;fad843df-6863-4fc5-8e49-545b028e9bdb;X3D_MATERIAL;UUID_5e388dac-85e1-4db4-8b76-0a39e9790ae1;UUID_5e388dac-85e1-4db4-8b76-0a39e9790ae1;BLDG_000300000026c7ad;shininess;"0.0";false;Property has been inserted to the new city model.
72;718e1ae8-23f8-47ad-b5ca-9fe0bb95f709;X3D_MATERIAL;UUID_922d2690-6de5-4839-a6e2-9dc42b8c06a7;UUID_922d2690-6de5-4839-a6e2-9dc42b8c06a7;BLDG_0003000f00240d4f;shininess;"0.0";false;Property has been inserted to the new city model.
73;490da7e8-55cd-432c-917b-5bfa86e7f480;X3D_MATERIAL;UUID_a2abe188-6c0c-4a5f-82b4-8ad419c63e19;UUID_a2abe188-6c0c-4a5f-82b4-8ad419c63e19;BLDG_0003000b003be423;shininess;"0.0";false;Property has been inserted to the new city model.
74;8c185c2c-98e1-4bc4-b67a-f15e5ba990d7;X3D_MATERIAL;UUID_6e392a16-c28b-4921-bb53-a68f7af9bf31;UUID_6e392a16-c28b-4921-bb53-a68f7af9bf31;BLDG_000300000026a1a6;shininess;"0.0";false;Property has been inserted to the new city model.
75;df3804c1-5361-4f04-b7d1-509546502419;X3D_MATERIAL;UUID_153495a3-4ad4-443d-bca5-48b6d72928b8;UUID_153495a3-4ad4-443d-bca5-48b6d72928b8;BLDG_0003000a00369c25;shininess;"0.0";false;Property has been inserted to the new city model.
76;ac7c7a3c-a876-4fa4-b9f1-a9379f5beda2;X3D_MATERIAL;UUID_370c49c5-534c-4fc9-a50f-c1da9a0660ca;UUID_370c49c5-534c-4fc9-a50f-c1da9a0660ca;BLDG_0003000000078f29;shininess;"0.0";false;Property has been inserted to the new city model.
77;992cdb09-73f0-4f62-9e43-1317a75eb1d9;X3D_MATERIAL;UUID_7bd8143a-9bd7-4e9b-8381-ce28aa3699a9;UUID_7bd8143a-9bd7-4e9b-8381-ce28aa3699a9;BLDG_0003000b00373ebc;shininess;"0.0";false;Property has been inserted to the new city model.
78;c86e1bbc-2d25-401e-8171-a3c51ab24a4b;X3D_MATERIAL;UUID_b9e8243a-452b-43a9-a1bb-ee06ea7073dd;UUID_b9e8243a-452b-43a9-a1bb-ee06ea7073dd;BLDG_0003000b00566948;shininess;"0.0";false;Property has been inserted to the new city model.
79;c4515ba7-dd5f-4fbf-bfce-ba13bca4bff4;X3D_MATERIAL;UUID_8726c628-04cc-4abe-bd78-d9ddec0e6200;UUID_8726c628-04cc-4abe-bd78-d9ddec0e6200;BLDG_0003000e005569b6;shininess;"0.0";false;Property has been inserted to the new city model.
80;7aaab21f-bfd3-44f4-b9d2-8c1f2438f050;X3D_MATERIAL;UUID_0eb56457-c8c7-4598-8454-076613cdc067;UUID_0eb56457-c8c7-4598-8454-076613cdc067;BLDG_0003000f0035e879;shininess;"0.0";false;Property has been inserted to the new city model.
81;f4576b94-59f7-4872-b5c8-c9dcd24c6e9b;X3D_MATERIAL;UUID_326e4f74-ca99-4ea5-b80d-6d4c1cdbcda5;UUID_326e4f74-ca99-4ea5-b80d-6d4c1cdbcda5;BLDG_00030009007accf4;shininess;"0.0";false;Property has been inserted to the new city model.
82;04b9dabc-32ba-411d-a641-af99195c1e9f;X3D_MATERIAL;UUID_f851f03c-4b67-422a-b87e-ee8fe4e87f8d;UUID_f851f03c-4b67-422a-b87e-ee8fe4e87f8d;BLDG_0003000b003786e2;shininess;"0.0";false;Property has been inserted to the new city model.
83;a471d4c1-9976-4a0c-b057-d15bae0b4281;X3D_MATERIAL;UUID_693f2c32-9315-40ad-9644-9c02cc8abe8f;UUID_693f2c32-9315-40ad-9644-9c02cc8abe8f;BLDG_0003000900222dee;shininess;"0.0";false;Property has been inserted to the new city model.
84;3577e8ba-f8d1-4f5e-a534-3bf6ca521559;X3D_MATERIAL;UUID_e7996e93-40b2-4718-899a-c6d6ba59f6cd;UUID_e7996e93-40b2-4718-899a-c6d6ba59f6cd;BLDG_0003000e00093e6e;shininess;"0.0";false;Property has been inserted to the new city model.
85;784f4a74-8661-4cb4-8738-00baa5bfe640;X3D_MATERIAL;UUID_b28fe5e6-1b49-4edd-8f8e-c4b50044e7b9;UUID_b28fe5e6-1b49-4edd-8f8e-c4b50044e7b9;BLDG_0003000f0000020a;shininess;"0.0";false;Property has been inserted to the new city model.
86;e0a6316f-f5ce-4e95-b88f-50b73aa80a6d;X3D_MATERIAL;UUID_1ce4a8ad-0080-43af-985b-bcd0c7cd7ce1;UUID_1ce4a8ad-0080-43af-985b-bcd0c7cd7ce1;BLDG_0003000f003ef230;shininess;"0.0";false;Property has been inserted to the new city model.
